failed_gates,family,filters,name,oos_fills,oos_liquidations,oos_max_drawdown,oos_round_trips,oos_sharpe,oos_sortino,oos_total_return,oos_volatility,reject_top,replay_survivor,success_candidate,train_fills,train_liquidations,train_max_drawdown,train_round_trips,train_sharpe,train_sortino,train_total_return,train_volatility,val_fills,val_liquidations,val_max_drawdown,val_round_trips,val_sharpe,val_sortino,val_total_return,val_volatility
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 24, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 6.2, ""lookback_bars"": 72, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.018, ""name"": ""fresh_state_distilled_longonly_lb72_fast24_z100_ret180_h168_ls620_ss0_tp600"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.5, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.06, ""target_allocation"": 0.008, ""threshold"": 1.0, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb72_fast24_z100_ret180_h168_ls620_ss0_tp600,16,0,0.004085683363539796,8,3.213511230233082,3.3740480077319415,0.010530914899568922,0.017988228858422776,"{""cooldown"": 294, ""signal_missing"": 197, ""state_distilled_rank_gap_too_small"": 169}",False,False,80,0,0.02782415529783539,40,-0.8019691945913716,-0.799745984157392,-0.019940746719644853,0.024737396414531525,12,0,0.014990389548540425,6,-2.901012065824125,-3.0136941414475142,-0.009735921245792478,0.02080381590327577
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 24, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 5.9, ""lookback_bars"": 72, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.006, ""name"": ""fresh_state_distilled_both_lb72_fast24_z075_ret60_h168_ls590_ss100_tp450"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.125, ""short_allocation_scale"": 10.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 0.75, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_both_lb72_fast24_z075_ret60_h168_ls590_ss100_tp450,22,0,0.006164032961682321,11,2.857707560350286,3.471507875149648,0.010114903363779737,0.01944455233714857,"{""cooldown"": 420, ""signal_missing"": 76, ""state_distilled_rank_gap_too_small"": 54}",False,False,110,0,0.07649914750813334,55,-1.3454076755280562,-1.4612395828490468,-0.052047718935029796,0.039163010915959855,16,0,0.03635425235836495,8,-5.134259965742198,-5.635746097487279,-0.030620966923223247,0.037363135718340865
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 24, ""allow_long"": true, ""allow_short"": true, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 5.9, ""lookback_bars"": 72, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.012, ""name"": ""fresh_state_distilled_both_lb72_fast24_z075_ret120_h168_ls590_ss100_tp450"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.125, ""short_allocation_scale"": 10.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 0.75, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_both_lb72_fast24_z075_ret120_h168_ls590_ss100_tp450,22,0,0.006164032961682321,11,2.857707560350286,3.471507875149648,0.010114903363779737,0.01944455233714857,"{""cooldown"": 420, ""signal_missing"": 76, ""state_distilled_rank_gap_too_small"": 54}",False,False,110,0,0.07649914750813334,55,-1.3454076755280562,-1.4612395828490468,-0.052047718935029796,0.039163010915959855,16,0,0.03624388007576439,8,-5.007715979038693,-5.6101612166918695,-0.030510018656057736,0.03815982549489699
"val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 72, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 6.2, ""lookback_bars"": 168, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.006, ""name"": ""fresh_state_distilled_longonly_lb168_fast72_z075_ret60_h168_ls620_ss0_tp450"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.125, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 0.75, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb168_fast72_z075_ret60_h168_ls620_ss0_tp450,16,0,0.002321782958121604,8,4.587475546251221,5.297691642678071,0.00976149022752515,0.011666637353075006,"{""cooldown"": 294, ""signal_missing"": 391, ""state_distilled_rank_gap_too_small"": 96}",False,False,84,0,0.016069401404565257,42,0.9311455823920141,0.7435141850961239,0.01889406977081065,0.02032608854122281,12,0,0.016533849235163798,6,-2.3654922303036634,-1.8980036327549938,-0.007268350842781213,0.01901529193285311
"val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 72, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 6.2, ""lookback_bars"": 168, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.012, ""name"": ""fresh_state_distilled_longonly_lb168_fast72_z075_ret120_h168_ls620_ss0_tp450"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.125, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 0.75, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb168_fast72_z075_ret120_h168_ls620_ss0_tp450,16,0,0.0024111209711188916,8,4.556583229631328,5.292487901806596,0.009761489293631742,0.01174593591847811,"{""cooldown"": 294, ""signal_missing"": 398, ""state_distilled_rank_gap_too_small"": 96}",False,False,84,0,0.016069551831502875,42,0.934860646527993,0.7459398992182645,0.018971582296618328,0.02032670998282469,12,0,0.016533849235163798,6,-2.3654922303036634,-1.8980036327549938,-0.007268350842781213,0.01901529193285311
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 24, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 6.2, ""lookback_bars"": 72, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.018, ""name"": ""fresh_state_distilled_longonly_lb72_fast24_z050_ret180_h168_ls620_ss0_tp600"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.0, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.06, ""target_allocation"": 0.008, ""threshold"": 0.5, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb72_fast24_z050_ret180_h168_ls620_ss0_tp600,18,0,0.004085683363539796,9,2.940311178087952,3.5314836494383592,0.009751721399796631,0.018217458708964258,"{""cooldown"": 336, ""signal_missing"": 131, ""state_distilled_rank_gap_too_small"": 44}",False,False,86,0,0.034504276107682905,43,-0.9002219827964798,-0.9433882228393562,-0.02311400332876834,0.02561586009489706,12,0,0.022101035915263068,6,-4.306679096843659,-4.170555179815305,-0.014614710370720374,0.0211117181797468
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 24, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 6.2, ""lookback_bars"": 72, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.018, ""name"": ""fresh_state_distilled_longonly_lb72_fast24_z075_ret180_h168_ls620_ss0_tp600"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.125, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.06, ""target_allocation"": 0.008, ""threshold"": 0.75, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb72_fast24_z075_ret180_h168_ls620_ss0_tp600,18,0,0.004085683363539796,9,2.9349803395594503,3.53114415513367,0.009725728375194809,0.018202190273231725,"{""cooldown"": 336, ""signal_missing"": 123, ""state_distilled_rank_gap_too_small"": 53}",False,False,86,0,0.024633005797688765,43,-0.5105133182599005,-0.5141070391248808,-0.013554219308948401,0.026069303273750156,12,0,0.022101035915263068,6,-4.306679096843659,-4.170555179815305,-0.014614710370720374,0.0211117181797468
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 72, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.03, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 6.2, ""lookback_bars"": 168, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.006, ""name"": ""fresh_state_distilled_longonly_lb168_fast72_z050_ret60_h168_ls620_ss0_tp600_fl3"", ""oi_rank_min"": 0.02, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.0, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.06, ""target_allocation"": 0.008, ""threshold"": 0.5, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb168_fast72_z050_ret60_h168_ls620_ss0_tp600_fl3,10,0,0.003275877408770554,5,3.5569354168406884,3.0829171085240965,0.009711996822724611,0.014983363019673773,"{""cooldown"": 210, ""signal_missing"": 845, ""state_distilled_rank_gap_too_small"": 54}",False,False,48,0,0.025388591947695244,24,-0.4974216663686101,-0.36851550403470257,-0.009835114930000444,0.019490479131279284,12,0,0.028644678036121335,6,-5.172106620466653,-4.864722109598712,-0.020673517464343982,0.024944471201230525
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 72, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.03, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 6.2, ""lookback_bars"": 168, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.012, ""name"": ""fresh_state_distilled_longonly_lb168_fast72_z050_ret120_h168_ls620_ss0_tp600_fl3"", ""oi_rank_min"": 0.02, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.0, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.06, ""target_allocation"": 0.008, ""threshold"": 0.5, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb168_fast72_z050_ret120_h168_ls620_ss0_tp600_fl3,10,0,0.003275877408770554,5,3.5569354168406884,3.0829171085240965,0.009711996822724611,0.014983363019673773,"{""cooldown"": 210, ""signal_missing"": 845, ""state_distilled_rank_gap_too_small"": 54}",False,False,48,0,0.027167757206644272,24,-1.089845982669161,-0.7886892327590599,-0.022654001127315304,0.0208287984902306,12,0,0.028644678036121335,6,-5.172106620466653,-4.864722109598712,-0.020673517464343982,0.024944471201230525
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 72, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 42, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.03, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 168, ""long_allocation_scale"": 6.2, ""lookback_bars"": 168, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.018, ""name"": ""fresh_state_distilled_longonly_lb168_fast72_z050_ret180_h168_ls620_ss0_tp600_fl3"", ""oi_rank_min"": 0.02, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.0, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.06, ""target_allocation"": 0.008, ""threshold"": 0.5, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb168_fast72_z050_ret180_h168_ls620_ss0_tp600_fl3,10,0,0.003275877408770554,5,3.5569354168406884,3.0829171085240965,0.009711996822724611,0.014983363019673773,"{""cooldown"": 210, ""signal_missing"": 845, ""state_distilled_rank_gap_too_small"": 54}",False,False,46,0,0.025383482573802563,23,-0.6304765008518854,-0.4627266525528592,-0.012331876744819836,0.019385431008911873,12,0,0.02907744209179659,6,-5.3011474906940075,-4.973676996051164,-0.02110951379498438,0.024857702491169576
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 72, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 30, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 120, ""long_allocation_scale"": 6.2, ""lookback_bars"": 168, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.012, ""name"": ""fresh_state_distilled_longonly_lb168_fast72_z050_ret120_h120_ls620_ss0_tp450"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.0, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 0.5, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb168_fast72_z050_ret120_h120_ls620_ss0_tp450,26,0,0.006999383503493893,13,2.894262610704446,3.25819691221137,0.00966987423265886,0.01835405148907296,"{""cooldown"": 360, ""signal_missing"": 275, ""state_distilled_rank_gap_too_small"": 45}",False,False,110,0,0.02333773500944652,55,-0.3499173197918368,-0.3022301645003687,-0.008229278825625297,0.022870308405678677,18,0,0.02346929772088104,9,-3.4109446872832176,-2.9505125420721465,-0.012431950377642664,0.022630098143745624
"train_positive,val_positive,oos_return_beats_incumbent,oos_mdd_beats_shadow",state_distilled_leadership_unwind,"{""adaptive_lookback_bars"": 72, ""allow_long"": true, ""allow_short"": false, ""broad_min_abs"": 0.0, ""calendar_long_months"": [], ""calendar_long_symbol"": """", ""calendar_short_months"": [], ""calendar_short_symbol"": """", ""calendar_veto_flow_abs"": 0.0, ""calendar_veto_funding_abs"": 0.0, ""calendar_veto_market_ret_abs"": 0.0, ""calendar_veto_resid_z"": 0.0, ""compression_lookback_bars"": 24, ""compression_quantile"": 0.0, ""cooldown_bars"": 30, ""entry_days_of_month"": [], ""entry_hours"": [], ""family"": ""state_distilled_leadership_unwind"", ""flow_lookback_bars"": 6, ""flow_persistence_bars"": 0, ""flow_persistence_threshold"": 0.0, ""flow_threshold"": 0.0, ""funding_abs_cap"": 0.0, ""funding_rank_min"": 0.0, ""hold_bars"": 120, ""long_allocation_scale"": 6.2, ""lookback_bars"": 168, ""max_order_value"": 175.0, ""max_rv"": 0.0, ""min_abs_return"": 0.006, ""name"": ""fresh_state_distilled_longonly_lb168_fast72_z050_ret60_h120_ls620_ss0_tp450"", ""oi_rank_min"": 0.0, ""primary_symbol"": """", ""rv_lookback_bars"": 24, ""secondary_symbol"": """", ""sharpe_lookback_bars"": 6, ""sharpe_rank_min"": 1.0, ""short_allocation_scale"": 0.0, ""spread_hedge_ratio"": 1.0, ""stop_loss_pct"": 0.0, ""take_profit_pct"": 0.045, ""target_allocation"": 0.008, ""threshold"": 0.5, ""trailing_stop_cap_pct"": 0.0, ""trailing_stop_floor_pct"": 0.0, ""trailing_stop_rv_multiple"": 0.0}",fresh_state_distilled_longonly_lb168_fast72_z050_ret60_h120_ls620_ss0_tp450,26,0,0.006999383503493893,13,2.902220495790211,3.2607861331060404,0.009669873279857466,0.0183034037905727,"{""cooldown"": 360, ""signal_missing"": 268, ""state_distilled_rank_gap_too_small"": 45}",False,False,112,0,0.023499539589041836,56,-0.3415159032379261,-0.2983650637949945,-0.008116733722744018,0.023086106231688084,18,0,0.02346929772088104,9,-3.4109446872832176,-2.9505125420721465,-0.012431950377642664,0.022630098143745624
